READING_DATE,Location,POLLEN_NAME,READING_VALUE
3/1/2004 0:00,EASTSIDE,Elm,276
3/1/2004 0:00,EASTSIDE,Juniper/Cedar,298
3/1/2004 0:00,WESTSIDE,Elm,129
3/1/2004 0:00,WESTSIDE,Juniper/Cedar,180
3/2/2004 0:00,EASTSIDE,Elm,78
3/2/2004 0:00,EASTSIDE,Juniper/Cedar,4
3/2/2004 0:00,WESTSIDE,Elm,4
3/3/2004 0:00,EASTSIDE,Elm,32
3/3/2004 0:00,EASTSIDE,Juniper/Cedar,4
3/3/2004 0:00,WESTSIDE,Elm,107
3/3/2004 0:00,WESTSIDE,Juniper/Cedar,29
3/4/2004 0:00,EASTSIDE,Elm,110
3/4/2004 0:00,EASTSIDE,Juniper/Cedar,11
3/4/2004 0:00,EASTSIDE,Oak,10
3/4/2004 0:00,WESTSIDE,Elm,132
3/4/2004 0:00,WESTSIDE,Juniper/Cedar,7
3/5/2004 0:00,EASTSIDE,Elm,14
3/8/2004 0:00,EASTSIDE,Elm,46
3/8/2004 0:00,EASTSIDE,Juniper/Cedar,12
3/8/2004 0:00,WESTSIDE,Elm,14
3/8/2004 0:00,WESTSIDE,Juniper/Cedar,11
3/9/2004 0:00,EASTSIDE,Elm,318
3/9/2004 0:00,EASTSIDE,Juniper/Cedar,759
3/9/2004 0:00,WESTSIDE,Elm,38
3/9/2004 0:00,WESTSIDE,Juniper/Cedar,277
3/9/2004 0:00,WESTSIDE,Oak,12
3/10/2004 0:00,EASTSIDE,Elm,78
3/10/2004 0:00,EASTSIDE,Juniper/Cedar,182
3/10/2004 0:00,EASTSIDE,Oak,18
3/10/2004 0:00,WESTSIDE,Elm,41
3/10/2004 0:00,WESTSIDE,Juniper/Cedar,120
3/10/2004 0:00,WESTSIDE,Oak,5
3/11/2004 0:00,EASTSIDE,Elm,96
3/11/2004 0:00,EASTSIDE,Juniper/Cedar,261
3/11/2004 0:00,EASTSIDE,Oak,42
3/11/2004 0:00,WESTSIDE,Elm,39
3/11/2004 0:00,WESTSIDE,Juniper/Cedar,204
3/12/2004 0:00,EASTSIDE,Elm,18
3/12/2004 0:00,EASTSIDE,Juniper/Cedar,111
3/12/2004 0:00,EASTSIDE,Oak,4
3/12/2004 0:00,WESTSIDE,Elm,27
3/12/2004 0:00,WESTSIDE,Juniper/Cedar,184
3/12/2004 0:00,WESTSIDE,Oak,20
3/15/2004 0:00,EASTSIDE,Elm,22
3/15/2004 0:00,EASTSIDE,Juniper/Cedar,30
3/15/2004 0:00,WESTSIDE,Elm,18
3/15/2004 0:00,WESTSIDE,Juniper/Cedar,59
3/16/2004 0:00,EASTSIDE,Elm,32
3/16/2004 0:00,EASTSIDE,Juniper/Cedar,502
3/16/2004 0:00,WESTSIDE,Elm,14
3/16/2004 0:00,WESTSIDE,Juniper/Cedar,734
3/17/2004 0:00,EASTSIDE,Cottonwood,2
3/17/2004 0:00,EASTSIDE,Elm,10
3/17/2004 0:00,EASTSIDE,Juniper/Cedar,205
3/17/2004 0:00,EASTSIDE,Oak,8
3/17/2004 0:00,WESTSIDE,Elm,12
3/17/2004 0:00,WESTSIDE,Juniper/Cedar,180
3/18/2004 0:00,EASTSIDE,Cottonwood,4
3/18/2004 0:00,EASTSIDE,Elm,14
3/18/2004 0:00,EASTSIDE,Juniper/Cedar,179
3/18/2004 0:00,WESTSIDE,Cottonwood,7
