Station,Date,Amount
USC00290231,20160101,0
USC00296754,20160101,0
USW00023050,20160101,0
USC00290231,20160102,0
USC00296754,20160102,0
USW00023050,20160102,0
USC00290231,20160103,0
USC00296754,20160103,0
USW00023050,20160103,0
USC00290231,20160104,0
USC00296754,20160104,0
USW00023050,20160104,0
USC00290231,20160105,25
USC00296754,20160105,0
USW00023050,20160105,8
USC00290231,20160106,71
USC00296754,20160106,64
USW00023050,20160106,58
USC00290231,20160107,3
USC00296754,20160107,0
USW00023050,20160107,0
USC00290231,20160108,3
USC00296754,20160108,10
USW00023050,20160108,18
USC00290231,20160109,8
USC00296754,20160109,0
USW00023050,20160109,10
USC00290231,20160110,0
USC00296754,20160110,0
USW00023050,20160110,0
USC00290231,20160111,0
USC00296754,20160111,15
USW00023050,20160111,0
USC00290231,20160112,0
USC00296754,20160112,0
USW00023050,20160112,0
USC00290231,20160113,0
USC00296754,20160113,0
USW00023050,20160113,0
USC00290231,20160114,0
USC00296754,20160114,0
USW00023050,20160114,0
USC00290231,20160115,0
USC00296754,20160115,0
USW00023050,20160115,0
USC00290231,20160116,0
USC00296754,20160116,0
USW00023050,20160116,0
USC00290231,20160117,0
USC00296754,20160117,0
USW00023050,20160117,0
USC00290231,20160118,0
USC00296754,20160118,0
USW00023050,20160118,0
USC00290231,20160119,0
USC00296754,20160119,0
USW00023050,20160119,0
USC00290231,20160120,0
USC00296754,20160120,0
USW00023050,20160120,0
USC00290231,20160121,0
USC00296754,20160121,0
USW00023050,20160121,0
USC00290231,20160122,0
USC00296754,20160122,0
USW00023050,20160122,0
USC00290231,20160123,0
USC00296754,20160123,0
USW00023050,20160123,0
USC00290231,20160124,0
USC00296754,20160124,0
USW00023050,20160124,0
USC00290231,20160125,0
USC00296754,20160125,0
USW00023050,20160125,0
USC00290231,20160126,0
USC00296754,20160126,0
USW00023050,20160126,0
USC00290231,20160127,0
USC00296754,20160127,0
USW00023050,20160127,0
USC00290231,20160128,0
USC00296754,20160128,0
USW00023050,20160128,0
USC00290231,20160129,0
USC00296754,20160129,0
USW00023050,20160129,0
USC00290231,20160130,0
USC00296754,20160130,0
